,molecule,Timeframe,rho,delta3D,sigma3D,sigmaAvg3D,W3D,WA3D,gfactor,Wlike3D,RI3D,GR3D,GD3D,PJI3D,BJI3D,M13D,M23D,MTI3D,MTId3D,H3D,XuI13D,XuI23D,chiR3D,chi03D,chi13D,chi23D,chi33D,X03D,X13D,GMTI
9009,10,0,0.10000088345599463,15.404341043814414,79.0089823673641,13.168163727894017,39.50449118368205,2.633632745578803,1.1286997481052015,353.08456680193865,79.0089823673641,2.7334406899180994,4.4342292835621455,0.6222152907568688,2.0534417465454204,28.435689557099316,93.24872008150098,154.500263812953,123.64791798760777,6.551935551926225,6.219177482620943,6.218399985657624,1.159572031010359,4.021589129442414,1.800956472935359,5.3768530781608135,0.3670331008451971,2.7912960433366236,1.1683395450491054,93.86898243393217
9010,10,1,0.13907397266676433,15.573859661392838,81.0449631255965,13.507493854266082,40.52248156279825,2.7014987708532163,1.1577851875085214,404.64322763204865,81.0449631255965,2.728579839041555,4.719340903550088,0.7295960470072997,2.0067436325424786,28.309362140629187,92.43398108040762,157.83702347914837,126.63469101474894,6.433331500999586,6.281868025401398,6.280613297444122,1.1318870249208925,4.0037637508995,1.781166661491505,5.277376864256118,0.35822021724178377,2.797449611083719,1.173452680374487,96.01005972396169
9011,10,2,0.16456724817552218,15.302771204094732,79.6665633224351,13.277760553739183,39.83328166121755,2.6555521107478364,1.1380937617490727,379.5623191957504,79.6665633224351,2.560287383904589,4.562471754487907,0.7820154812190923,2.0355079073034403,28.395115014696795,92.80148598159346,155.44403872482238,124.7846866928867,6.5447347001590375,6.243975534654443,6.240692878906177,1.1509536262010445,4.044992674415751,1.81241664766867,5.45569184864618,0.36875021056959506,2.793885597562376,1.171043530654672,94.869331685061
9012,10,3,0.10742743399825107,15.215058873735583,76.83209676110691,12.805349460184486,38.416048380553455,2.561069892036897,1.0976013823015274,316.31506644932915,76.83209676110691,2.56676155967027,4.385379992988072,0.7085264412138943,2.1035831469372672,28.5736952712424,94.16707753780858,150.98721979264226,120.5244072984783,6.686337209617085,6.153473369765889,6.1516575525688175,1.1914702487397646,4.048038803814946,1.822425457259788,5.484376210848999,0.3749468189750725,2.784550748324139,1.16276980399613,91.56342966946679
9013,10,4,0.0488794092996698,15.247911087729097,79.42261508891924,13.237102514819874,39.71130754445962,2.647420502963975,1.1346087869845607,371.5431952756026,79.42261508891924,2.647471397390315,4.590299544060259,0.7338429221879577,2.0467346378673894,28.391051289259597,93.02851220660754,154.64448592664024,124.10286674997124,6.559724936252339,6.231966203763375,6.230290567034186,1.1547853906296963,4.044490003275275,1.8195209527146683,5.449693361746865,0.3741414006791223,2.7932001670202578,1.169667297188132,93.97055908462683
9014,10,5,0.03934342396722329,15.128739942294475,77.6035487760392,12.933924796006535,38.8017743880196,2.586784959201307,1.1086221253719886,340.5676686721122,77.6035487760392,2.5403830625496093,4.414014134832395,0.737538798736262,2.0931254601064415,28.543398273500582,93.89991095513311,151.61243300622232,121.41902748702996,6.678887534151996,6.179391656718149,6.183261461874819,1.1825194973487567,4.045250708826764,1.829427579405411,5.508524442730559,0.38063185301792124,2.786244209612405,1.1641635856343788,92.02143290631126
9015,10,6,0.020659390394269506,15.331242776414864,78.8965500344248,13.149425005737468,39.4482750172124,2.6298850011474935,1.1270935719203543,350.8990725448419,78.8965500344248,2.655911126920477,4.605490658268683,0.7340530003384333,2.046392863056275,28.430123698592748,92.92163760112042,154.70630597938117,123.92731494572975,6.5653211906577384,6.219205989269618,6.213604133524967,1.1593055157163428,4.046025455610655,1.8115097138236853,5.432112758742731,0.36812028698217236,2.792497443459122,1.1703152101090202,94.56489920528514
9016,10,7,0.019981718166250485,15.407684254581536,80.50450334938164,13.417417224896939,40.25225167469082,2.683483444979388,1.1500643335625949,410.9931836393564,80.50450334938164,2.632677348271151,4.797020379527269,0.8221072106224552,2.016819854018112,28.387424774002533,92.53213957676522,156.83746086124432,126.08437509517508,6.507526182885152,6.273282263588973,6.276890059470435,1.1403385866394842,4.019348240875266,1.7964253067616531,5.384739506931494,0.36390754726390917,2.7949617526094914,1.1725845744604113,95.78365882189654
9017,10,8,0.01598455922548044,15.466212207499153,77.73822035548831,12.956370059248052,38.869110177744155,2.5912740118496105,1.1105460050784044,330.85463698096834,77.73822035548831,2.5978202817169564,4.4040905240582875,0.6953022328194032,2.088078733548653,28.52949555616266,94.0295468875715,152.5101837424688,121.61537470993004,6.603888367427361,6.180546711956489,6.183301261802893,1.1794626139528044,4.003597501754484,1.7905429687157228,5.346913667618974,0.36431366812743166,2.7862552017472852,1.1635863627091936,92.2021638348022
9018,10,9,0.013921760581753045,15.282561436797659,79.7829673298991,13.29716122164985,39.89148366494955,2.65943224432997,1.1397566761414157,385.8440744298808,79.7829673298991,2.5591573804868073,4.733865739847304,0.8497751548780561,2.041957252494263,28.388925180212183,92.87769465649612,155.10316766726788,124.59830080238345,6.544486524934121,6.245809673290272,6.2494694731480775,1.151149319766875,4.026980903695612,1.810892372069378,5.441971277466105,0.37248737767910345,2.793781080206679,1.1704376078662586,94.3644204109772
9019,10,10,0.01568678834737913,15.276000394672373,78.2012623710439,13.033543728507317,39.10063118552195,2.606708745701463,1.117160891014913,346.5253575499107,78.2012623710439,2.642166646069088,4.416153735152343,0.6714137776746685,2.0690194892746847,28.49023278243983,93.54792191102511,153.24024699513885,122.59994410143423,6.616527916095136,6.1972691614420485,6.191887723264246,1.1712462204240646,4.054146684106922,1.817016700132228,5.47085843567699,0.36949264830706957,2.7888433377568957,1.1665492116882799,93.23855630290811
9020,10,11,0.019575086626281674,15.207832721560194,79.57549080363334,13.262581800605558,39.78774540181667,2.6525163601211115,1.1367927257661907,380.97183395539264,79.57549080363334,2.5606790939904935,4.605238609464231,0.7984442565536594,2.03982154441499,28.40294354181753,92.79593412900024,155.01678350940045,124.58025632912559,6.567944638664867,6.24115431937806,6.238407611200195,1.152633201548686,4.053467418589928,1.8231266098600334,5.4771113613701035,0.37350866300566266,2.793657890522279,1.1709622843074077,94.65197455890105
9021,10,12,0.02328617275792476,15.437845529070819,80.27945719888027,13.37990953314671,40.13972859944013,2.675981906629342,1.1468493885554323,404.21606785587113,80.27945719888027,2.665081334012159,4.824016018060053,0.8100821001202676,2.0284456990532265,28.392485267535623,92.87481875845755,156.18629388092452,125.35519873946956,6.507342021231081,6.25959925397331,6.2615739208675185,1.1434695141500073,4.008399172978114,1.7935856002699035,5.349851225403769,0.3649165247367098,2.7936481117513203,1.1705760447971563,94.83786405448288
9022,10,13,0.01634649027344779,15.498719250319306,81.20289159891212,13.533815266485353,40.60144579945606,2.706763053297071,1.1600413085558874,420.1028996786322,81.20289159891212,2.66819132464294,4.903543723930687,0.8377781528042725,1.9992345636174191,28.320626580518077,92.34507355373484,158.16780895037581,127.07322253582498,6.4517070039134845,6.288910919208163,6.2807640966508655,1.1291116225459001,4.024558440654459,1.7930279957360749,5.357558206115081,0.35966350248315315,2.7974086184612363,1.1739647487246978,96.46827422039856
9023,10,14,0.008696176085292238,15.377141509732244,74.2010895935147,12.366848265585782,37.10054479675735,2.4733696531171563,1.0600155656216386,249.41594431861773,74.2010895935147,2.613900788094323,4.165317397269956,0.5935254376302099,2.1589282069293354,28.665389449560404,94.89834572899017,147.7829662086416,117.04523055277708,6.74132105023706,6.067402680257269,6.068564013504595,1.2278984264342834,4.02028002617769,1.800666864576074,5.377413053281268,0.36736225823255764,2.779607222148421,1.1583968510819582,89.35603323435697
9024,10,15,0.009544682961236318,15.467396308621975,74.66610225853088,12.444350376421815,37.33305112926544,2.4888700752843627,1.0666586036932983,241.6103861230742,74.66610225853088,2.637812847796427,3.7701131136876973,0.4292572412167792,2.1246463987808655,28.593887293005345,93.80779560654666,149.6121429390482,118.73751018635384,6.684112757499986,6.093859255912387,6.096164705452331,1.2169264360974335,4.0117571920341515,1.7891635497928267,5.318438764778361,0.36097624654942306,2.7850110568065207,1.1649334311159396,91.29292071747852
9025,10,16,0.007473707895166716,15.465515067313898,76.15923948888567,12.693206581480945,38.07961974444284,2.538641316296189,1.0879891355555096,260.7625698785307,76.15923948888567,2.652953116811522,3.9856386050418147,0.5023403843004939,2.090870503424978,28.45702844156889,93.02590658671394,151.69596144265884,120.80441305292962,6.5982618133558075,6.140384635987581,6.142591906916407,1.1944242796694537,4.005773836807466,1.78936001662198,5.3315666766982135,0.3633821712573576,2.791274586754543,1.1696898667972426,92.71164487295238
9026,10,17,0.009275275692105917,15.627481410418907,76.52024481158043,12.753374135263405,38.26012240579021,2.550674827052681,1.093146354451149,260.4550362276352,76.52024481158043,2.724669800177619,3.6751688791129355,0.3488492729920354,2.0835312533708312,28.435727518740872,93.14608153682016,152.42573065986508,121.16189566135185,6.550873697720185,6.147098900615348,6.146746698131367,1.1884682321074371,3.9939657338686345,1.7728011430558657,5.270685920616752,0.3546430267295897,2.791459685616391,1.1690929312064569,92.75743562105336
9027,10,18,0.0231007275882076,15.565478229592706,77.57359869781874,12.928933116303122,38.78679934890937,2.5857866232606246,1.1081942671116962,303.13777653686344,77.57359869781874,2.6713687871576344,4.506794972316789,0.6870733063824064,2.0656844510362236,28.422195995258516,92.9591088020768,153.6144559775448,122.42570236124833,6.542630234809588,6.17961352187204,6.178413026304114,1.1752604556024662,4.010257503149658,1.7821020823298563,5.331462375597405,0.3569512707709865,2.7924944708722887,1.1702131308436998,93.63539680136878
9028,10,19,0.0038423266633436297,15.433238415474472,77.9717109798569,12.995285163309482,38.98585548992845,2.5990570326618965,1.1138815854265272,311.07978781693765,77.9717109798569,2.662203532790091,4.476514677737665,0.6815073012265545,2.0614680976413533,28.40507055636619,92.87536010885107,153.71730484416216,122.7916647894811,6.55251379997823,6.189939178014125,6.187260952467864,1.1701730569474278,4.029484168770256,1.7982200250548237,5.405327029706033,0.3625959776396746,2.7932211379361602,1.1706112335539445,93.7677246564327
9029,10,20,0.017428396840484528,15.544274311061892,76.24575755446693,12.707626259077822,38.12287877723347,2.5415252518155644,1.0892251079209563,257.0418430681707,76.24575755446693,2.731084296013029,3.6871467803423466,0.3500669992958565,2.0858294537936235,28.45193413509346,93.04889803283396,152.1174698202139,121.00270170088757,6.578991381795233,6.1419392551373555,6.140931756995444,1.1919984031643274,4.005999273998449,1.78362621911127,5.328580193260343,0.3588046203941662,2.791310915062657,1.1695853384208392,92.88669180305686
9030,10,21,0.005818287858766285,15.514010819118953,77.86717156673777,12.977861927789627,38.93358578336888,2.5955723855579254,1.112388165239111,315.620061895249,77.86717156673777,2.6203856019486897,4.476043143179028,0.708162012434487,2.0644311358474225,28.44523255705552,93.15071358847658,153.71946174597184,122.63926152203862,6.554649127098753,6.188856019376274,6.185926699031576,1.1730963057284336,4.014392948785009,1.787704913525571,5.337255431579099,0.3594833897980055,2.791366324396363,1.1690318616282434,93.63668205532383
